,Name,Geschlecht,Partei,Amtsantritt,Amtsaustritt,Zeitspanne,act_Amtsaustritt,amtsdauer_tage,amtsdauer_jahre
7,Claudia Nielsen,weiblich,SP,2010-01-01,2018-01-01,2010-2018,2018-01-01,2922 days,8.000164274420419
11,Gerold Lauber,männlich,CVP/Die Mitte,2006-01-01,2018-01-01,2006-2018,2018-01-01,4383 days,12.000246411630629
12,Andres Türler,männlich,FDP,2002-01-01,2018-01-01,2002-2018,2018-01-01,5844 days,16.000328548840837
14,Martin Waser,männlich,SP,2002-01-01,2014-01-01,2002-2014,2014-01-01,4383 days,12.000246411630629
10,Ruth Genner,weiblich,GP,2008-01-01,2014-01-01,2008-2014,2014-01-01,2192 days,6.001492159318809
13,Martin Vollenwyder,männlich,FDP,2002-01-01,2013-01-01,2002-2013,2013-01-01,4018 days,11.000910354079824
16,Esther Maurer,weiblich,SP,1998-01-01,2010-01-01,1998-2010,2010-01-01,4383 days,12.000246411630629
18,Kathrin Martelli,weiblich,FDP,1994-01-01,2010-01-01,1994-2010,2010-01-01,5844 days,16.000328548840837
22,Robert Neukomm,männlich,SP,1990-01-01,2010-01-01,1990-2010,2010-01-01,7305 days,20.000410686051048
15,Elmar Ledergerber,männlich,SP,1998-01-01,2009-01-01,1998-2009,2009-01-01,4018 days,11.000910354079824
19,Monika Stocker,weiblich,GP,1994-01-01,2008-01-01,1994-2008,2008-01-01,5113 days,13.99891852673224
17,Monika Weber,weiblich,parteilos,1998-01-01,2006-01-01,1998-2006,2006-01-01,2922 days,8.000164274420419
27,Willy Küng,männlich,CVP/Die Mitte,1982-01-01,2002-01-01,1982-2002,2002-01-01,7305 days,20.000410686051048
21,Josef Estermann,männlich,SP,1990-01-01,2002-01-01,1990-2002,2002-01-01,4383 days,12.000246411630629
30,Thomas Wagner,männlich,FDP,1978-01-01,2002-01-01,1978-2002,2002-01-01,8766 days,24.000492823261258
23,Ursula Koch,weiblich,SP,1986-01-01,1998-01-01,1986-1998,1998-01-01,4383 days,12.000246411630629
24,Wolfgang Nigg,männlich,CVP/Die Mitte,1986-01-01,1998-01-01,1986-1998,1998-01-01,4383 days,12.000246411630629
20,Hans Wehrli,männlich,FDP,1992-01-01,1998-01-01,1992-1998,1998-01-01,2192 days,6.001492159318809
29,Rudolf Aeschbacher,männlich,EVP,1978-01-01,1994-01-01,1978-1994,1994-01-01,5844 days,16.000328548840837
33,Emilie Lieberherr,weiblich,parteilos,1970-01-01,1994-01-01,1970-1994,1994-01-01,8766 days,24.000492823261258
31,Jürg Kaufmann,männlich,parteilos,1974-01-01,1992-01-01,1974-1992,1992-01-01,6574 days,17.99900066394245
26,Kurt Egloff,männlich,BGB/SVP,1982-01-01,1990-01-01,1982-1990,1990-01-01,2922 days,8.000164274420419
34,Hans Frick,männlich,LdU,1970-01-01,1990-01-01,1970-1990,1990-01-01,7305 days,20.000410686051048
25,Hugo Fahrner,männlich,FDP,1982-01-01,1986-01-01,1982-1986,1986-01-01,1461 days,4.000082137210209
28,Max Bryner,männlich,Gewerkschaftsbund,1978-01-01,1986-01-01,1978-1986,1986-01-01,2922 days,8.000164274420419
42,Sigmund F. T. Widmer,männlich,LdU,1954-01-01,1982-01-01,1954-1982,1982-01-01,10227 days,28.000574960471468
36,Max Koller,männlich,CVP/Die Mitte,1970-01-01,1982-01-01,1970-1982,1982-01-01,4383 days,12.000246411630629
37,Edwin Frech,männlich,SP,1966-01-01,1982-01-01,1966-1982,1982-01-01,5844 days,16.000328548840837
41,Jakob Baur,männlich,BGB/SVP,1958-01-01,1978-01-01,1958-1978,1978-01-01,7305 days,20.000410686051048
32,Regula Pestalozzi,weiblich,FDP,1974-01-01,1978-01-01,1974-1978,1978-01-01,1461 days,4.000082137210209
35,Heinrich Burkhardt,männlich,FDP,1970-01-01,1978-01-01,1970-1978,1978-01-01,2922 days,8.000164274420419
39,Rudolf Albert Welter,männlich,SP,1960-01-01,1974-01-01,1960-1974,1974-01-01,5114 days,14.001656433739228
40,Adolf Maurer,männlich,SP,1958-01-01,1974-01-01,1958-1974,1974-01-01,5844 days,16.000328548840837
49,August Wilhelm Ziegler,männlich,SP,1942-01-01,1970-01-01,1942-1970,1970-01-01,10227 days,28.000574960471468
38,Ernst Bieri,männlich,FDP,1966-01-01,1970-01-01,1966-1970,1970-01-01,1461 days,4.000082137210209
44,Alois Holenstein,männlich,CVP/Die Mitte,1950-01-01,1970-01-01,1950-1970,1970-01-01,7305 days,20.000410686051048
46,Albert Sieber,männlich,FDP,1946-01-01,1970-01-01,1946-1970,1970-01-01,8766 days,24.000492823261258
43,Walter Thomann,männlich,SP,1954-01-01,1966-01-01,1954-1966,1966-01-01,4383 days,12.000246411630629
50,Emil Landolt,männlich,FDP,1942-01-01,1966-01-01,1942-1966,1966-01-01,8766 days,24.000492823261258
53,Willy Spühler,männlich,SP,1942-01-01,1960-01-01,1942-1960,1960-01-01,6574 days,17.99900066394245
55,Jakob Peter,männlich,SP,1938-01-01,1958-01-01,1938-1958,1958-01-01,7305 days,20.000410686051048
45,Hans Sappeur,männlich,LdU,1949-01-01,1958-01-01,1949-1958,1958-01-01,3287 days,8.999500331971225
63,Johann Jakob Baumann,männlich,SP,1928-01-01,1954-01-01,1928-1954,1954-01-01,9497 days,26.001902845369855
52,Heinrich Oetiker,männlich,LdU,1942-01-01,1954-01-01,1942-1954,1954-01-01,4383 days,12.000246411630629
48,Adolf Lüchinger,männlich,SP,1944-01-01,1949-01-01,1944-1949,1949-01-01,1827 days,5.002156101768003
47,Edgar Woog,männlich,PdA,1946-01-01,1949-01-01,1946-1949,1949-01-01,1096 days,3.0007460796594043
57,Erwin Stirnemann,männlich,FDP,1934-01-01,1946-01-01,1934-1946,1946-01-01,4383 days,12.000246411630629
54,Anton Higi,männlich,CVP/Die Mitte,1938-01-01,1946-01-01,1938-1946,1946-01-01,2922 days,8.000164274420419
51,Ernst Nobst,männlich,SP,1942-01-01,1944-01-01,1942-1944,1944-01-01,730 days,1.9986721151016105
56,Robert Kunz,männlich,Demokraten,1935-01-01,1942-01-01,1935-1942,1942-01-01,2557 days,7.000828216869614
61,Joachim Hefti,männlich,FDP,1931-01-01,1942-01-01,1931-1942,1942-01-01,4018 days,11.000910354079824
62,Johann Briner,männlich,SP,1928-01-01,1942-01-01,1928-1942,1942-01-01,5114 days,14.001656433739228
80,Emil Klöti,männlich,SP,1907-01-01,1942-01-01,1907-1942,1942-01-01,12784 days,35.00140317734108
69,Jakob Anton Gschwend,männlich,SP,1922-01-01,1942-01-01,1922-1942,1942-01-01,7305 days,20.000410686051048
58,Emil Buomberger,männlich,CVP/Die Mitte,1933-01-01,1938-01-01,1933-1938,1938-01-01,1826 days,4.999418194761015
67,Niklaus Bernhard Kaufmann,männlich,SP,1923-01-01,1938-01-01,1923-1938,1938-01-01,5479 days,15.000992491290033
60,Willhelm Otto Sing,männlich,Demokraten,1932-01-01,1935-01-01,1932-1935,1935-01-01,1096 days,3.0007460796594043
73,Johann Gustav Kruck,männlich,FDP,1917-01-01,1934-01-01,1917-1934,1934-01-01,6209 days,16.999664606391644
59,Robert Briner,männlich,Demokraten,1933-01-01,1933-01-01,1933-1933,1933-01-01,0 days,0.0
71,Ulrich Ribi,männlich,EVP,1920-01-01,1933-01-01,1920-1933,1933-01-01,4749 days,13.002320376188424
70,Hermann H. Häberlin,männlich,FDP,1920-01-01,1932-01-01,1920-1932,1932-01-01,4383 days,12.000246411630629
64,Otto A. Hungerbühler,männlich,FDP,1928-01-01,1931-01-01,1928-1931,1931-01-01,1096 days,3.0007460796594043
65,Ernst Höhn,männlich,Demokraten,1925-01-01,1928-01-01,1925-1928,1928-01-01,1095 days,2.998008172652416
81,Hans Nägeli,männlich,Demokraten,1907-01-01,1928-01-01,1907-1928,1928-01-01,7670 days,20.999746743601854
66,P. Hermann Bertschinger,männlich,FDP,1925-01-01,1927-01-01,1925-1927,1927-01-01,730 days,1.9986721151016105
68,Paul Albert Rütsche,männlich,FDP,1923-01-01,1925-01-01,1923-1925,1925-01-01,731 days,2.001410022108599
