"id","typen","name","adresse","plz","ort","geometry"
"poi_pflegezentrum_view.8958","Pflegewohngruppen","Pflegewohngruppen","Räffelstrasse 12","8045","Zürich","POINT (8.514427 47.363362)"
"poi_pflegezentrum_view.8964","Pflegewohngruppe","Pflegewohngruppe Triemlipark I","Schweighofstrasse 425 (freig.)","8055","Zürich","POINT (8.50132 47.368017)"
"poi_pflegezentrum_view.9130","Pflegewohngruppe","Pflegewohngruppe Sunnige Hof","Else-Züblin-Strasse 48","8047","Zürich","POINT (8.487389 47.377319)"
"poi_pflegezentrum_view.9150","Pflegewohngruppe","Pflegewohngruppe Grünmatt","Grünmattstrasse 4","8055","Zürich","POINT (8.503486000000001 47.362411)"
"poi_pflegezentrum_view.9151","Pflegewohngruppe","Pflegewohngruppe Hausäcker","Hausäcker 4","8048","Zürich","POINT (8.477389000000001 47.390129)"
"poi_pflegezentrum_view.9196","Gesundheitszentrum","Gesundheitszentrum für das Alter Käferberg","Emil-Klöti-Strasse 25","8037","Zürich","POINT (8.515544999999999 47.399071)"
"poi_pflegezentrum_view.9197","Gesundheitszentrum","Gesundheitszentrum für das Alter Mattenhof","Helen-Keller-Strasse 12","8051","Zürich","POINT (8.594018 47.399914)"
"poi_pflegezentrum_view.9198","Gesundheitszentrum","Gesundheitszentrum für das Alter Riesbach","Witellikerstrasse 19","8008","Zürich","POINT (8.576563 47.352422)"
"poi_pflegezentrum_view.9203","Pflegewohngruppe","Pflegewohngruppe Felsenrain","Neunbrunnenstrasse 8","8050","Zürich","POINT (8.544200999999999 47.417609)"
"poi_pflegezentrum_view.9204","Pflegewohngruppe","Pflegewohngruppe Brunnenpark I","Künzlistrasse 15a (erst.)","8057","Zürich","POINT (8.533747999999999 47.405502)"
"poi_pflegezentrum_view.9205","Pflegewohngruppe","Pflegewohngruppe Brunnenpark II","Künzlistrasse 15a (erst.)","8057","Zürich","POINT (8.533747999999999 47.405502)"
"poi_pflegezentrum_view.9216","Gesundheitszentrum","Gesundheitszentrum für das Alter Witikon","Kienastenwiesweg 2","8053","Zürich","POINT (8.601796999999999 47.355094)"
"poi_pflegezentrum_view.9580","Pflegewohngruppe","Pflegewohngruppe Köschenrüti I","Traktorenstrasse 4","8052","Zürich","POINT (8.538130000000001 47.429073)"
"poi_pflegezentrum_view.9674","Pflegewohngruppe","Pflegewohngruppe Triemlipark II","Birmensdorferstrasse 437 (erst.)","8055","Zürich","POINT (8.500722 47.367906)"
"poi_pflegezentrum_view.10770","Start","Start up","Wiesenstrasse 10a","8952","Schlieren","POINT (8.443773999999999 47.400068)"
"poi_pflegezentrum_view.10808","Hotel","Hotel Spirgarten","Lindenplatz 5","8048","Zürich","POINT (8.485535 47.387428)"
"poi_pflegezentrum_view.10958","Online","Online Veranstaltung, Gesundheitszentren für das Alter","Eggbühlstrasse 23","8050","Zürich","POINT (8.542501 47.41615)"
"poi_pflegezentrum_view.11182","Gesundheitszentrum","Gesundheitszentrum für das Alter Bombach","Limmattalstrasse 371","8049","Zürich","POINT (8.483613 47.404222)"
"poi_pflegezentrum_view.11183","Gesundheitszentrum","Gesundheitszentrum für das Alter Entlisberg","Paradiesstrasse 45","8038","Zürich","POINT (8.526801000000001 47.334596)"
"poi_pflegezentrum_view.11211","Gesundheitszentrum","Gesundheitszentrum für das Alter Bachwiesen","Flurstrasse 130","8047","Zürich","POINT (8.487170000000001 47.378266)"
"poi_pflegezentrum_view.11497","Gesundheitszentrum","Gesundheitszentrum für das Alter Gehrenholz","Sieberstrasse 22","8055","Zürich","POINT (8.510683 47.364134)"
"poi_pflegezentrum_view.11504","Pflegewohngruppe","Pflegewohngruppe LieniHof","Heinrich-Federer-Strasse 22","8038","Zürich","POINT (8.531063 47.335941)"
"poi_pflegezentrum_view.11536","Pflegewohngruppe","Pflegewohngruppe Köschenrüti II","Traktorenstrasse 4","8052","Zürich","POINT (8.538130000000001 47.429073)"
"poi_pflegezentrum_view.11538","Pflegewohngruppe","Pflegewohngruppe Wolfswinkel","Wolfswinkel 14","8046","Zürich","POINT (8.514377 47.42389)"
"poi_pflegezentrum_view.11599","Fachstelle","Fachstelle für Freiwilligenarbeit","Eggbühlstrasse 23","8050","Zürich","POINT (8.542501 47.41615)"
